____Interval NumberOfNACs            A
        2.06         0.00         0.00
        2.08         0.00         0.00
        2.10         0.00         0.00
        2.12         0.00         0.00
        2.14         0.00         0.00
        2.16         0.00         0.00
        2.18         0.00         0.00
        2.20         0.00         0.00
        2.22         0.00         0.00
        2.24         0.00         0.00
        2.26         0.00         0.00
        2.28         1.00         1.00
        2.30         0.00         0.00
        2.32         0.00         0.00
        2.34         0.00         0.00
        2.36         0.00         0.00
        2.38         0.00         0.00
        2.40         0.00         0.00
        2.42         0.00         0.00
        2.44         0.00         0.00
        2.46         0.00         0.00
        2.48         0.00         0.00
        2.50         0.00         0.00
        2.52         0.00         0.00
        2.54         0.00         0.00
        2.56         0.00         0.00
        2.58         0.00         0.00
        2.60         0.00         0.00
        2.62         0.00         0.00
        2.64         0.00         0.00
        2.66         0.00         0.00
        2.68         0.00         0.00
        2.70         0.00         0.00
        2.72         0.00         0.00
        2.74         1.00         1.00
        2.76         1.00         1.00
        2.78         1.00         1.00
        2.80         1.00         1.00
        2.82         1.00         1.00
        2.84         1.00         1.00
        2.86         0.00         0.00
        2.88         0.00         0.00
        2.90         0.00         0.00
        2.92         0.00         0.00
        2.94         0.00         0.00
        2.96         0.00         0.00
        2.98         0.00         0.00
        3.00         0.00         0.00
        3.02         0.00         0.00
        3.04         0.00         0.00
        3.06         0.00         0.00
        3.08         0.00         0.00
        3.10         0.00         0.00
        3.12         0.00         0.00
        3.14         0.00         0.00
        3.16         0.00         0.00
        3.18         0.00         0.00
        3.20         0.00         0.00
        3.22         0.00         0.00
        3.24         0.00         0.00
        3.26         0.00         0.00
        3.28         0.00         0.00
        3.30         0.00         0.00
        3.32         0.00         0.00
        3.34         1.00         1.00
        3.36         1.00         1.00
        3.38         1.00         1.00
        3.40         1.00         1.00
        3.42         0.00         0.00
        3.44         0.00         0.00
        3.46         0.00         0.00
        3.48         0.00         0.00
        3.50         0.00         0.00
        3.52         0.00         0.00
        3.54         0.00         0.00
        3.56         0.00         0.00
        3.58         0.00         0.00
        3.60         0.00         0.00
        3.62         0.00         0.00
        3.64         1.00         1.00
        3.66         0.00         0.00
        3.68         0.00         0.00
        3.70         0.00         0.00
        3.72         0.00         0.00
        3.74         0.00         0.00
        3.76         0.00         0.00
        3.78         0.00         0.00
        3.80         0.00         0.00
        3.82         0.00         0.00
        3.84         0.00         0.00
        3.86         0.00         0.00
        3.88         0.00         0.00
        3.90         0.00         0.00
        3.92         0.00         0.00
        3.94         1.00         1.00
        3.96         0.00         0.00
        3.98         0.00         0.00
        4.00         0.00         0.00
        4.02         0.00         0.00
        4.04         0.00         0.00
        4.06         0.00         0.00
        4.08         0.00         0.00
        4.10         0.00         0.00
        4.12         0.00         0.00
        4.14         0.00         0.00
        4.16         0.00         0.00
        4.18         0.00         0.00
        4.20         0.00         0.00
        4.22         0.00         0.00
        4.24         0.00         0.00
        4.26         0.00         0.00
        4.28         0.00         0.00
        4.30         0.00         0.00
        4.32         0.00         0.00
        4.34         0.00         0.00
        4.36         0.00         0.00
        4.38         0.00         0.00
        4.40         0.00         0.00
        4.42         0.00         0.00
        4.44         0.00         0.00
        4.46         0.00         0.00
        4.48         0.00         0.00
        4.50         0.00         0.00
        4.52         0.00         0.00
        4.54         0.00         0.00
        4.56         0.00         0.00
        4.58         0.00         0.00
        4.60         0.00         0.00
        4.62         0.00         0.00
        4.64         0.00         0.00
        4.66         0.00         0.00
        4.68         0.00         0.00
        4.70         0.00         0.00
        4.72         0.00         0.00
        4.74         0.00         0.00
        4.76         0.00         0.00
        4.78         0.00         0.00
        4.80         0.00         0.00
        4.82         0.00         0.00
        4.84         0.00         0.00
        4.86         0.00         0.00
        4.88         0.00         0.00
        4.90         0.00         0.00
        4.92         0.00         0.00
        4.94         0.00         0.00
        4.96         0.00         0.00
        4.98         0.00         0.00
        5.00         0.00         0.00
        5.02         0.00         0.00
        5.04         0.00         0.00
        5.06         0.00         0.00
        5.08         0.00         0.00
        5.10         0.00         0.00
        5.12         0.00         0.00
        5.14         0.00         0.00
        5.16         0.00         0.00
        5.18         0.00         0.00
        5.20         0.00         0.00
        5.22         0.00         0.00
        5.24         0.00         0.00
        5.26         0.00         0.00
        5.28         0.00         0.00
        5.30         0.00         0.00
        5.32         0.00         0.00
        5.34         0.00         0.00
        5.36         0.00         0.00
        5.38         0.00         0.00
        5.40         0.00         0.00
        5.42         0.00         0.00
        5.44         0.00         0.00
        5.46         0.00         0.00
        5.48         0.00         0.00
        5.50         0.00         0.00
        5.52         0.00         0.00
        5.54         0.00         0.00
        5.56         0.00         0.00
        5.58         0.00         0.00
        5.60         0.00         0.00
        5.62         0.00         0.00
        5.64         0.00         0.00
        5.66         0.00         0.00
        5.68         0.00         0.00
        5.70         0.00         0.00
        5.72         0.00         0.00
        5.74         0.00         0.00
        5.76         0.00         0.00
        5.78         0.00         0.00
        5.80         0.00         0.00
        5.82         0.00         0.00
        5.84         0.00         0.00
        5.86         0.00         0.00
        5.88         0.00         0.00
        5.90         0.00         0.00
        5.92         0.00         0.00
        5.94         0.00         0.00
        5.96         0.00         0.00
        5.98         0.00         0.00
        6.00         0.00         0.00
        6.02         0.00         0.00
        6.04         0.00         0.00
        6.06         0.00         0.00
        6.08         0.00         0.00
        6.10         0.00         0.00
        6.12         0.00         0.00
        6.14         0.00         0.00
        6.16         0.00         0.00
        6.18         0.00         0.00
        6.20         0.00         0.00
        6.22         0.00         0.00
        6.24         0.00         0.00
        6.26         0.00         0.00
        6.28         0.00         0.00
        6.30         0.00         0.00
        6.32         0.00         0.00
        6.34         0.00         0.00
        6.36         0.00         0.00
        6.38         0.00         0.00
        6.40         0.00         0.00
        6.42         0.00         0.00
        6.44         0.00         0.00
        6.46         0.00         0.00
        6.48         0.00         0.00
        6.50         0.00         0.00
        6.52         0.00         0.00
        6.54         0.00         0.00
        6.56         0.00         0.00
        6.58         0.00         0.00
        6.60         0.00         0.00
        6.62         0.00         0.00
        6.64         0.00         0.00
        6.66         0.00         0.00
        6.68         0.00         0.00
        6.70         0.00         0.00
        6.72         0.00         0.00
        6.74         0.00         0.00
        6.76         0.00         0.00
        6.78         0.00         0.00
        6.80         1.00         1.00
        6.82         1.00         1.00
        6.84         0.00         0.00
        6.86         0.00         0.00
        6.88         0.00         0.00
        6.90         0.00         0.00
        6.92         0.00         0.00
        6.94         0.00         0.00
        6.96         0.00         0.00
        6.98         0.00         0.00
        7.00         0.00         0.00
        7.02         0.00         0.00
        7.04         0.00         0.00
        7.06         0.00         0.00
        7.08         0.00         0.00
        7.10         0.00         0.00
        7.12         0.00         0.00
        7.14         0.00         0.00
        7.16         0.00         0.00
        7.18         0.00         0.00
        7.20         0.00         0.00
        7.22         0.00         0.00
        7.24         0.00         0.00
        7.26         0.00         0.00
        7.28         0.00         0.00
        7.30         0.00         0.00
        7.32         0.00         0.00
        7.34         0.00         0.00
        7.36         0.00         0.00
        7.38         0.00         0.00
        7.40         0.00         0.00
        7.42         0.00         0.00
        7.44         0.00         0.00
        7.46         0.00         0.00
        7.48         0.00         0.00
        7.50         0.00         0.00
        7.52         0.00         0.00
        7.54         0.00         0.00
        7.56         0.00         0.00
        7.58         0.00         0.00
        7.60         0.00         0.00
        7.62         0.00         0.00
        7.64         0.00         0.00
        7.66         0.00         0.00
        7.68         0.00         0.00
        7.70         0.00         0.00
        7.72         0.00         0.00
        7.74         0.00         0.00
        7.76         0.00         0.00
        7.78         0.00         0.00
        7.80         0.00         0.00
        7.82         0.00         0.00
        7.84         0.00         0.00
        7.86         0.00         0.00
        7.88         0.00         0.00
        7.90         0.00         0.00
        7.92         0.00         0.00
        7.94         0.00         0.00
        7.96         0.00         0.00
        7.98         0.00         0.00
        8.00         0.00         0.00
        8.02         0.00         0.00
        8.04         0.00         0.00
        8.06         0.00         0.00
        8.08         0.00         0.00
        8.10         0.00         0.00
        8.12         0.00         0.00
        8.14         0.00         0.00
        8.16         0.00         0.00
        8.18         0.00         0.00
        8.20         0.00         0.00
        8.22         0.00         0.00
        8.24         0.00         0.00
        8.26         0.00         0.00
        8.28         0.00         0.00
        8.30         0.00         0.00
        8.32         0.00         0.00
        8.34         0.00         0.00
        8.36         0.00         0.00
        8.38         0.00         0.00
        8.40         0.00         0.00
        8.42         0.00         0.00
        8.44         0.00         0.00
        8.46         0.00         0.00
        8.48         0.00         0.00
        8.50         0.00         0.00
        8.52         0.00         0.00
        8.54         0.00         0.00
        8.56         0.00         0.00
        8.58         0.00         0.00
        8.60         0.00         0.00
        8.62         0.00         0.00
        8.64         0.00         0.00
        8.66         0.00         0.00
        8.68         0.00         0.00
        8.70         0.00         0.00
        8.72         0.00         0.00
        8.74         0.00         0.00
        8.76         1.00         1.00
        8.78         0.00         0.00
        8.80         0.00         0.00
        8.82         0.00         0.00
        8.84         0.00         0.00
        8.86         0.00         0.00
        8.88         0.00         0.00
        8.90         0.00         0.00
        8.92         0.00         0.00
        8.94         0.00         0.00
        8.96         0.00         0.00
        8.98         0.00         0.00
        9.00         0.00         0.00
        9.02         0.00         0.00
        9.04         0.00         0.00
        9.06         0.00         0.00
        9.08         0.00         0.00
        9.10         0.00         0.00
        9.12         0.00         0.00
        9.14         0.00         0.00
        9.16         0.00         0.00
        9.18         0.00         0.00
        9.20         0.00         0.00
        9.22         0.00         0.00
        9.24         0.00         0.00
        9.26         0.00         0.00
        9.28         0.00         0.00
        9.30         0.00         0.00
        9.32         0.00         0.00
        9.34         0.00         0.00
        9.36         0.00         0.00
        9.38         0.00         0.00
        9.40         0.00         0.00
        9.42         0.00         0.00
        9.44         0.00         0.00
        9.46         0.00         0.00
        9.48         0.00         0.00
        9.50         0.00         0.00
        9.52         0.00         0.00
        9.54         0.00         0.00
        9.56         0.00         0.00
        9.58         0.00         0.00
        9.60         0.00         0.00
        9.62         0.00         0.00
        9.64         0.00         0.00
        9.66         0.00         0.00
        9.68         0.00         0.00
        9.70         0.00         0.00
        9.72         0.00         0.00
        9.74         0.00         0.00
        9.76         0.00         0.00
        9.78         0.00         0.00
        9.80         0.00         0.00
        9.82         0.00         0.00
        9.84         0.00         0.00
        9.86         0.00         0.00
        9.88         0.00         0.00
        9.90         0.00         0.00
        9.92         0.00         0.00
        9.94         0.00         0.00
        9.96         0.00         0.00
        9.98         0.00         0.00
       10.00         0.00         0.00
       10.02         0.00         0.00
       10.04         0.00         0.00
       10.06         0.00         0.00
       10.08         0.00         0.00
       10.10         0.00         0.00
       10.12         0.00         0.00
       10.14         0.00         0.00
       10.16         0.00         0.00
       10.18         0.00         0.00
       10.20         0.00         0.00
       10.22         0.00         0.00
       10.24         0.00         0.00
       10.26         0.00         0.00
       10.28         0.00         0.00
       10.30         0.00         0.00
       10.32         0.00         0.00
       10.34         0.00         0.00
       10.36         0.00         0.00
       10.38         0.00         0.00
       10.40         0.00         0.00
       10.42         0.00         0.00
       10.44         0.00         0.00
       10.46         0.00         0.00
       10.48         0.00         0.00
       10.50         0.00         0.00
       10.52         0.00         0.00
       10.54         0.00         0.00
       10.56         0.00         0.00
       10.58         0.00         0.00
       10.60         0.00         0.00
       10.62         0.00         0.00
       10.64         0.00         0.00
       10.66         0.00         0.00
       10.68         0.00         0.00
       10.70         0.00         0.00
       10.72         0.00         0.00
       10.74         0.00         0.00
       10.76         0.00         0.00
       10.78         0.00         0.00
       10.80         0.00         0.00
       10.82         0.00         0.00
       10.84         0.00         0.00
       10.86         0.00         0.00
       10.88         0.00         0.00
       10.90         0.00         0.00
       10.92         0.00         0.00
       10.94         0.00         0.00
       10.96         0.00         0.00
       10.98         0.00         0.00
       11.00         0.00         0.00
       11.02         0.00         0.00
       11.04         0.00         0.00
       11.06         0.00         0.00
       11.08         0.00         0.00
       11.10         0.00         0.00
       11.12         0.00         0.00
       11.14         0.00         0.00
       11.16         0.00         0.00
       11.18         0.00         0.00
       11.20         0.00         0.00
       11.22         1.00         1.00
       11.24         0.00         0.00
       11.26         0.00         0.00
       11.28         0.00         0.00
       11.30         0.00         0.00
       11.32         0.00         0.00
       11.34         0.00         0.00
       11.36         0.00         0.00
       11.38         0.00         0.00
       11.40         0.00         0.00
       11.42         0.00         0.00
       11.44         0.00         0.00
       11.46         0.00         0.00
       11.48         0.00         0.00
       11.50         0.00         0.00
       11.52         0.00         0.00
       11.54         0.00         0.00
       11.56         0.00         0.00
       11.58         0.00         0.00
       11.60         0.00         0.00
       11.62         0.00         0.00
       11.64         0.00         0.00
       11.66         0.00         0.00
       11.68         0.00         0.00
       11.70         0.00         0.00
       11.72         0.00         0.00
       11.74         0.00         0.00
       11.76         0.00         0.00
       11.78         0.00         0.00
       11.80         0.00         0.00
       11.82         0.00         0.00
       11.84         0.00         0.00
       11.86         0.00         0.00
       11.88         0.00         0.00
       11.90         0.00         0.00
       11.92         0.00         0.00
       11.94         0.00         0.00
       11.96         0.00         0.00
       11.98         0.00         0.00
       12.00         0.00         0.00
       12.02         0.00         0.00
       12.04         0.00         0.00
       12.06         0.00         0.00
       12.08         0.00         0.00
       12.10         0.00         0.00
       12.12         0.00         0.00
       12.14         0.00         0.00
       12.16         0.00         0.00
       12.18         0.00         0.00
       12.20         0.00         0.00
       12.22         1.00         1.00
       12.24         0.00         0.00
       12.26         0.00         0.00
       12.28         0.00         0.00
       12.30         0.00         0.00
       12.32         0.00         0.00
       12.34         0.00         0.00
       12.36         0.00         0.00
       12.38         0.00         0.00
       12.40         0.00         0.00
       12.42         0.00         0.00
       12.44         0.00         0.00
       12.46         0.00         0.00
       12.48         0.00         0.00
       12.50         0.00         0.00
       12.52         0.00         0.00
       12.54         0.00         0.00
       12.56         0.00         0.00
       12.58         0.00         0.00
       12.60         0.00         0.00
       12.62         0.00         0.00
       12.64         0.00         0.00
       12.66         0.00         0.00
       12.68         0.00         0.00
       12.70         0.00         0.00
       12.72         0.00         0.00
       12.74         0.00         0.00
       12.76         0.00         0.00
       12.78         0.00         0.00
       12.80         0.00         0.00
       12.82         0.00         0.00
       12.84         0.00         0.00
       12.86         0.00         0.00
       12.88         0.00         0.00
       12.90         0.00         0.00
       12.92         0.00         0.00
       12.94         0.00         0.00
       12.96         0.00         0.00
       12.98         0.00         0.00
       13.00         0.00         0.00
       13.02         0.00         0.00
       13.04         0.00         0.00
       13.06         0.00         0.00
       13.08         1.00         1.00
       13.10         0.00         0.00
       13.12         0.00         0.00
       13.14         0.00         0.00
       13.16         1.00         1.00
       13.18         0.00         0.00
       13.20         1.00         1.00
       13.22         0.00         0.00
       13.24         0.00         0.00
       13.26         0.00         0.00
       13.28         0.00         0.00
       13.30         0.00         0.00
       13.32         0.00         0.00
       13.34         0.00         0.00
       13.36         0.00         0.00
       13.38         0.00         0.00
       13.40         0.00         0.00
       13.42         0.00         0.00
       13.44         0.00         0.00
       13.46         0.00         0.00
       13.48         1.00         0.00
       13.50         0.00         0.00
       13.52         0.00         0.00
       13.54         0.00         0.00
       13.56         0.00         0.00
       13.58         0.00         0.00
       13.60         0.00         0.00
       13.62         0.00         0.00
       13.64         0.00         0.00
       13.66         0.00         0.00
       13.68         1.00         1.00
       13.70         0.00         0.00
       13.72         0.00         0.00
       13.74         0.00         0.00
       13.76         0.00         0.00
       13.78         0.00         0.00
       13.80         0.00         0.00
       13.82         0.00         0.00
       13.84         0.00         0.00
       13.86         0.00         0.00
       13.88         0.00         0.00
       13.90         0.00         0.00
       13.92         0.00         0.00
       13.94         0.00         0.00
       13.96         0.00         0.00
       13.98         0.00         0.00
       14.00         0.00         0.00
       14.02         0.00         0.00
       14.04         0.00         0.00
       14.06         0.00         0.00
       14.08         0.00         0.00
       14.10         0.00         0.00
       14.12         0.00         0.00
       14.14         0.00         0.00
       14.16         0.00         0.00
       14.18         0.00         0.00
       14.20         0.00         0.00
       14.22         0.00         0.00
       14.24         0.00         0.00
       14.26         0.00         0.00
       14.28         0.00         0.00
       14.30         0.00         0.00
       14.32         0.00         0.00
       14.34         0.00         0.00
       14.36         0.00         0.00
       14.38         1.00         1.00
       14.40         0.00         0.00
       14.42         0.00         0.00
       14.44         0.00         0.00
       14.46         0.00         0.00
       14.48         0.00         0.00
       14.50         0.00         0.00
       14.52         0.00         0.00
       14.54         0.00         0.00
       14.56         0.00         0.00
       14.58         0.00         0.00
       14.60         0.00         0.00
       14.62         0.00         0.00
       14.64         0.00         0.00
       14.66         0.00         0.00
       14.68         0.00         0.00
       14.70         0.00         0.00
       14.72         0.00         0.00
       14.74         0.00         0.00
       14.76         0.00         0.00
       14.78         0.00         0.00
       14.80         0.00         0.00
       14.82         0.00         0.00
       14.84         0.00         0.00
       14.86         0.00         0.00
       14.88         1.00         1.00
       14.90         1.00         1.00
       14.92         1.00         1.00
       14.94         0.00         0.00
       14.96         0.00         0.00
       14.98         0.00         0.00
       15.00         0.00         0.00
       15.02         0.00         0.00
       15.04         1.00         0.00
       15.06         0.00         0.00
       15.08         0.00         0.00
       15.10         0.00         0.00
       15.12         0.00         0.00
       15.14         0.00         0.00
       15.16         0.00         0.00
       15.18         0.00         0.00
       15.20         0.00         0.00
       15.22         0.00         0.00
       15.24         0.00         0.00
       15.26         0.00         0.00
       15.28         0.00         0.00
       15.30         0.00         0.00
       15.32         0.00         0.00
       15.34         0.00         0.00
       15.36         0.00         0.00
       15.38         0.00         0.00
       15.40         0.00         0.00
       15.42         0.00         0.00
       15.44         0.00         0.00
       15.46         0.00         0.00
       15.48         0.00         0.00
       15.50         0.00         0.00
       15.52         0.00         0.00
       15.54         0.00         0.00
       15.56         0.00         0.00
       15.58         0.00         0.00
       15.60         0.00         0.00
       15.62         0.00         0.00
       15.64         0.00         0.00
       15.66         0.00         0.00
       15.68         0.00         0.00
       15.70         0.00         0.00
       15.72         0.00         0.00
       15.74         0.00         0.00
       15.76         0.00         0.00
       15.78         0.00         0.00
       15.80         1.00         0.00
       15.82         0.00         0.00
       15.84         0.00         0.00
       15.86         0.00         0.00
       15.88         0.00         0.00
       15.90         0.00         0.00
       15.92         0.00         0.00
       15.94         0.00         0.00
       15.96         0.00         0.00
       15.98         0.00         0.00
       16.00         0.00         0.00
       16.02         0.00         0.00
       16.04         0.00         0.00
       16.06         0.00         0.00
       16.08         0.00         0.00
       16.10         0.00         0.00
       16.12         0.00         0.00
       16.14         0.00         0.00
       16.16         0.00         0.00
       16.18         0.00         0.00
       16.20         0.00         0.00
       16.22         0.00         0.00
       16.24         0.00         0.00
       16.26         0.00         0.00
       16.28         0.00         0.00
       16.30         0.00         0.00
       16.32         0.00         0.00
       16.34         0.00         0.00
       16.36         0.00         0.00
       16.38         0.00         0.00
       16.40         0.00         0.00
       16.42         0.00         0.00
       16.44         0.00         0.00
       16.46         0.00         0.00
       16.48         0.00         0.00
       16.50         0.00         0.00
       16.52         0.00         0.00
       16.54         0.00         0.00
       16.56         0.00         0.00
       16.58         0.00         0.00
       16.60         0.00         0.00
       16.62         0.00         0.00
       16.64         0.00         0.00
       16.66         0.00         0.00
       16.68         0.00         0.00
       16.70         0.00         0.00
       16.72         0.00         0.00
       16.74         0.00         0.00
       16.76         0.00         0.00
       16.78         0.00         0.00
       16.80         0.00         0.00
       16.82         0.00         0.00
       16.84         0.00         0.00
       16.86         0.00         0.00
       16.88         0.00         0.00
       16.90         0.00         0.00
       16.92         0.00         0.00
       16.94         0.00         0.00
       16.96         0.00         0.00
       16.98         0.00         0.00
       17.00         0.00         0.00
       17.02         0.00         0.00
       17.04         0.00         0.00
       17.06         0.00         0.00
       17.08         0.00         0.00
       17.10         0.00         0.00
       17.12         0.00         0.00
       17.14         1.00         1.00
       17.16         0.00         0.00
       17.18         0.00         0.00
       17.20         0.00         0.00
       17.22         0.00         0.00
       17.24         0.00         0.00
       17.26         0.00         0.00
       17.28         0.00         0.00
       17.30         0.00         0.00
       17.32         0.00         0.00
       17.34         0.00         0.00
       17.36         0.00         0.00
       17.38         0.00         0.00
       17.40         0.00         0.00
       17.42         0.00         0.00
       17.44         0.00         0.00
       17.46         0.00         0.00
       17.48         0.00         0.00
       17.50         0.00         0.00
       17.52         0.00         0.00
       17.54         0.00         0.00
       17.56         0.00         0.00
       17.58         0.00         0.00
       17.60         0.00         0.00
       17.62         0.00         0.00
       17.64         0.00         0.00
       17.66         0.00         0.00
       17.68         0.00         0.00
       17.70         1.00         1.00
       17.72         0.00         0.00
       17.74         0.00         0.00
       17.76         0.00         0.00
       17.78         0.00         0.00
       17.80         0.00         0.00
       17.82         0.00         0.00
       17.84         0.00         0.00
       17.86         0.00         0.00
       17.88         0.00         0.00
       17.90         0.00         0.00
       17.92         0.00         0.00
       17.94         0.00         0.00
       17.96         0.00         0.00
       17.98         0.00         0.00
       18.00         0.00         0.00
       18.02         0.00         0.00
       18.04         0.00         0.00
       18.06         0.00         0.00
       18.08         0.00         0.00
       18.10         0.00         0.00
       18.12         0.00         0.00
       18.14         0.00         0.00
       18.16         0.00         0.00
       18.18         0.00         0.00
       18.20         0.00         0.00
       18.22         0.00         0.00
       18.24         0.00         0.00
       18.26         0.00         0.00
       18.28         0.00         0.00
       18.30         0.00         0.00
       18.32         0.00         0.00
       18.34         0.00         0.00
       18.36         0.00         0.00
       18.38         0.00         0.00
       18.40         0.00         0.00
       18.42         0.00         0.00
       18.44         0.00         0.00
       18.46         0.00         0.00
       18.48         0.00         0.00
       18.50         0.00         0.00
       18.52         0.00         0.00
       18.54         0.00         0.00
       18.56         0.00         0.00
       18.58         0.00         0.00
       18.60         0.00         0.00
       18.62         0.00         0.00
       18.64         0.00         0.00
       18.66         0.00         0.00
       18.68         0.00         0.00
       18.70         0.00         0.00
       18.72         0.00         0.00
       18.74         0.00         0.00
       18.76         0.00         0.00
       18.78         0.00         0.00
       18.80         0.00         0.00
       18.82         0.00         0.00
       18.84         0.00         0.00
       18.86         0.00         0.00
       18.88         0.00         0.00
       18.90         0.00         0.00
       18.92         0.00         0.00
       18.94         0.00         0.00
       18.96         0.00         0.00
       18.98         0.00         0.00
       19.00         0.00         0.00
       19.02         0.00         0.00
       19.04         0.00         0.00
       19.06         0.00         0.00
       19.08         0.00         0.00
       19.10         0.00         0.00
       19.12         0.00         0.00
       19.14         0.00         0.00
       19.16         0.00         0.00
       19.18         0.00         0.00
       19.20         0.00         0.00
       19.22         0.00         0.00
       19.24         0.00         0.00
       19.26         0.00         0.00
       19.28         0.00         0.00
       19.30         0.00         0.00
       19.32         0.00         0.00
       19.34         0.00         0.00
       19.36         0.00         0.00
       19.38         0.00         0.00
       19.40         0.00         0.00
       19.42         0.00         0.00
       19.44         0.00         0.00
       19.46         0.00         0.00
       19.48         0.00         0.00
       19.50         0.00         0.00
       19.52         0.00         0.00
       19.54         0.00         0.00
       19.56         0.00         0.00
       19.58         0.00         0.00
       19.60         0.00         0.00
       19.62         0.00         0.00
       19.64         0.00         0.00
       19.66         0.00         0.00
       19.68         0.00         0.00
       19.70         0.00         0.00
       19.72         0.00         0.00
       19.74         0.00         0.00
       19.76         0.00         0.00
       19.78         0.00         0.00
       19.80         0.00         0.00
       19.82         0.00         0.00
       19.84         1.00         0.00
       19.86         0.00         0.00
       19.88         0.00         0.00
       19.90         0.00         0.00
       19.92         0.00         0.00
       19.94         0.00         0.00
       19.96         0.00         0.00
       19.98         0.00         0.00
       20.00         0.00         0.00

